"","x"
"255",60.6602941176471
"256",64.1184615384615
"257",66.1418181818182
"258",52.7854166666667
"259",46.4888888888889
"260",47.4844827586207
"261",51.7333333333333
"262",62.6776119402985
"263",66.6830769230769
"264",62.0015873015873
"265",56.775
"266",47.9156862745098
"267",55.9971428571428
"268",47.2932203389831
"269",46.7047619047619
"270",42.1706896551724
"271",41.8177419354839
"272",42.0383333333333
"273",46.7984375
"274",58.9666666666667
"275",57.3622641509434
"276",60.7731707317073
"277",61.1342088805503
"278",61.4952470293934
"279",61.8562851782364
"280",62.2173233270794
"281",62.5783614759224
"282",62.9393996247655
"283",63.3004377736085
"284",63.6614759224515
"285",64.0225140712946
"286",64.3835522201376
"287",64.7445903689806
"288",65.1056285178236
"289",65.4666666666667
"290",64.0925925925926
"291",65.5942028985507
"292",63.546875
"293",54.0806451612903
"294",48
"295",45.3731343283582
"296",50.6724137931034
"297",48.34375
"298",64.4909090909091
"299",61.8983050847458
"300",71
"301",101.142857142857
"302",92.6086956521739
"303",84.2285714285714
"304",78.8148148148148
"305",78.28
"306",63.6315789473684
"307",64.4230769230769
"308",64.5909090909091
"309",64
"310",107.809523809524
"311",106.272727272727
"312",79.3809523809524
"313",91.6470588235294
"314",91.4090909090909
"315",78.8421052631579
"316",86.48
"317",94
"318",82.3846153846154
"319",73.9285714285714
"320",74.304347826087
"321",76.6
"322",111.6
"323",111.173913043478
"324",92.7407407407407
"325",55.8793103448276
"326",64.2413793103448
"327",62.796875
"328",72.4393939393939
"329",63.0704225352113
"330",54.9285714285714
"331",52.2241379310345
"332",59.2884615384615
"333",52.3818181818182
"334",61.7627118644068
"335",80.75
"336",75.578125
"337",63.3888888888889
"338",70.2295081967213
"339",69.3548387096774
"340",71.5689655172414
"341",66.7096774193548
"342",57.1969696969697
"343",45.859375
"344",52.3728813559322
"345",54.7741935483871
"346",70.0819672131148
"347",93.4745762711864
"348",94.140625
